DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1960-0002-IRN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Lar, Gerash",,,No,No,No,,6,Richter,28,54.5,,1960,4,24,1960,4,24,480,,,,,,,,,20000,197907,10.10576299,,2007-11-08,2023-09-25
1960-0007-PER,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,PER,Peru,Latin America and the Caribbean,Americas,"Arequipa, Chuquibamban Caravelli, Cotahuasi",,Tsunami/Tidal wave,No,No,No,,7.8,Richter,-15.75,-72.75,,1960,1,13,1960,1,13,63,200,,,200,,,,,,,10.10576299,,2004-04-13,2023-09-25
1960-0010-MAR,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,MAR,Morocco,Northern Africa,Africa,Agadir,,Tsunami/Tidal wave,No,No,No,,5.9,Richter,30.45,-9.62,,1960,2,29,1960,2,29,12000,25000,,,25000,,,,,120000,1187441,10.10576299,,2004-04-13,2023-09-25
1960-0011-PNG,Yes,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Manam,PNG,Papua New Guinea,Melanesia,Oceania,Manam,,,No,No,No,,,,-4.08,145.037,,1960,3,17,1960,3,17,,,2000,,2000,,,,,,,10.10576299,,2003-07-01,2023-09-25
1960-0013-CHL,Yes,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,CHL,Chile,Latin America and the Caribbean,Americas,"Puerto Montt, Valdivia (Arauco peninsula)",,Tsunami/Tidal wave|Volcanic activity,No,No,No,,9.5,Richter,-38.143,-73.407,,1960,5,22,1960,5,22,6000,3000,2000000,,2003000,,,,,550000,5442439,10.10576299,,2007-11-08,2023-09-25
1960-0033-DZA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,DZA,Algeria,Northern Africa,Africa,"Melouza, Beni Illmane",,,No,No,No,,5.6,Richter,36,4.1,,1960,2,21,1960,2,21,57,,,1250,1250,,,,,,,10.10576299,,2004-04-06,2023-09-25
1961-0016-ETH,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Wollo, Karakore",,,No,No,No,,6.5,Richter,10.4,39.9,,1961,6,2,1961,6,2,30,,,,,,,,,,,10.21396373,,2003-07-01,2023-09-25
1961-0060-IRN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Dehkuyeh, Khaneh, Lar, Shagheb, Nokhriz",,,No,No,No,,6.4,Richter,27.861,54.528,,1961,6,11,1961,6,11,60,,,,,,,,,,,10.21396373,,2020-02-14,2023-09-25
1961-0061-JPN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,JPN,Japan,Eastern Asia,Asia,Honshu,,,No,No,No,,6.8,Richter,36,136.7,,1961,8,19,1961,8,19,10,,,,,,,,,,,10.21396373,,2020-02-14,2023-09-25
1962-0006-IRN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Buyin-Zara, Qazvin",,,No,No,No,,7.3,Richter,35.656,49.843,,1962,9,1,1962,9,1,12000,3000,100000,,103000,,,,,30000,290236,10.33641036,,2005-11-17,2023-09-25
1962-0030-COL,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,COL,Colombia,Latin America and the Caribbean,Americas,"Mistrato, Manizales",,,No,No,No,,6.8,Richter,5.173,-76.352,,1962,7,30,1962,7,30,47,300,,,300,,,,,,,10.33641036,,2003-07-01,2023-09-25
1962-0044-ALB,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ALB,Albania,Southern Europe,Europe,"Fier, Volre",,,No,No,No,,6,Richter,40.9,19.5,,1962,3,18,1962,3,18,15,154,,,154,,,,,,,10.33641036,,2004-04-20,2023-09-25
1962-0045-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Irpinia,,,No,No,No,,6.1,Richter,41.4,15.5,,1962,8,21,1962,8,21,16,,,30000,30000,,,,,,,10.33641036,,2006-02-09,2023-09-25
1963-0001-LBY,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,LBY,Libya,Northern Africa,Africa,El Marj (Barce),,,No,No,No,,5.4,Richter,32.6,21,,1963,2,21,1963,2,21,300,375,,5000,5375,,,,,5000,47780,10.46454239,,2003-07-01,2023-09-25
1963-0016-YUG,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,YUG,Yugoslavia,Southern Europe,Europe,Skopje (Macedonia (FYR)),,,No,No,No,,6,Richter,42.1,21.3,,1963,7,26,1963,7,26,1070,3300,,,3300,,,,,1000000,9556080,10.46454239,,2005-12-13,2023-09-25
1963-0050-TWN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TWN,Taiwan (Province of China),Eastern Asia,Asia,"Taipei, Hsinch",,,No,No,No,,7.2,Richter,24.411,122.094,,1963,2,13,1963,2,13,15,18,,,18,,,,,,,10.46454239,,2020-03-06,2023-09-25
1964-0014-TWN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TWN,Taiwan (Province of China),Eastern Asia,Asia,Tainan,,,Yes,No,No,,7,Richter,23.2,120.6,,1964,1,18,1964,1,18,107,2485,37000,23000,62485,,,,,,,10.59837602,,2003-07-01,2023-09-25
1964-0016-AZO,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,AZO,Azores Islands,Southern Europe,Europe,Sao Jorge Isl.,,,Yes,No,No,,4.6,Richter,38.8,-28.4,,1964,2,18,1964,2,18,,,1000,,1000,,,,,,,10.59837602,,2003-07-01,2023-09-25
1964-0021-USA,Yes,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,USA,United States of America,Northern America,Americas,"Anchorage, Chitina, Glennallen, Homer, Hope, Kasilof, Kenai, Kodiak, Moose Pass, Portage, Seldovia, Seward, Sterling, Valdez, Wasilla, Whittier (Alaska)",,Tsunami/Tidal wave,No,No,No,,9.2,Richter,60.908,-147.339,,1964,3,27,1964,3,27,131,,,,,,,,,311000,2934412,10.59837602,,2005-04-26,2023-09-25
1964-0027-TZA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Northern,,,Yes,No,No,,,Richter,-2.31,32.56,,1964,5,7,1964,5,7,4,,500,,500,,,,,,,10.59837602,,2003-07-01,2023-09-25
1964-0032-MEX,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,MEX,Mexico,Latin America and the Caribbean,Americas,"Guerrero, Michoacan",,,Yes,No,No,,7.3,Richter,18.136,-100.605,,1964,7,6,1964,7,6,45,,4000,,4000,,,,,3000,28306,10.59837602,,2003-07-01,2023-09-25
1964-0036-JPN,Yes,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,JPN,Japan,Eastern Asia,Asia,"Niigata, Hodo Isl.",,Tsunami/Tidal wave,No,No,No,,6.5,Richter,38.67,139.195,,1964,6,16,1964,6,16,25,376,35000,,35376,,,5000,47177,800000,7548326,10.59837602,,2011-04-27,2023-09-25
1964-0059-TUR,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TUR,Türkiye,Western Asia,Asia,"Manyas, Bursa, Balikesir provinces (West)",,,Yes,No,No,,6.8,Richter,40.203,28.206,,1964,10,6,1964,10,6,23,100,13000,,13100,,,,,5000,47177,10.59837602,,2003-07-01,2023-09-25
1965-0002-DZA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,DZA,Algeria,Northern Africa,Africa,M'sila & Environs,,,Yes,No,No,,5.5,Richter,35.7,4.4,,1965,1,1,1965,1,1,2,350,37000,12000,49350,,,,,2000,18576,10.76637873,,2003-07-01,2023-09-25
1965-0015-GRC,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,GRC,Greece,Southern Europe,Europe,"(1) Alonisos & Skopelos, (2) C Patras, Corinth, (3) C Peloponnesus",,,Yes,No,No,,6.3,Richter,39.4,24,,1965,3,9,1965,3,9,38,253,30000,,30253,,,,,8000,74305,10.76637873,,2003-07-01,2023-09-25
1965-0016-CHL,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,CHL,Chile,Latin America and the Caribbean,Americas,"Coquimbo, Santiago (Central Valley)",,,Yes,No,No,,7.4,Richter,-32.522,-71.233,,1965,3,28,1965,3,28,400,350,20000,,20350,,,,,125000,1161022,10.76637873,,2004-04-21,2023-09-25
1965-0024-USA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,USA,United States of America,Northern America,Americas,Seattle (Washington),,,No,No,No,,6.7,Richter,47.4,-122.3,,1965,4,29,1965,4,29,7,,,,,,,,,28000,260069,10.76637873,,2007-11-08,2023-09-25
1965-0025-SLV,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,SLV,El Salvador,Latin America and the Caribbean,Americas,San Marcos,,,Yes,No,No,,6,Richter,13.5,-89.3,,1965,5,3,1965,5,3,125,1138,90582,48000,139720,,,,,35000,325086,10.76637873,,2003-07-01,2023-09-25
1965-0093-IDN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IDN,Indonesia,South-eastern Asia,Asia,Sanana Island,,Tsunami/Tidal wave,No,No,No,,8.2,Richter,-2.608,-125.952,,1965,1,24,1965,1,24,71,,15000,,15000,,,,,,,10.76637873,,2003-07-01,2023-09-25
1965-0107-IRN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,North West,,,No,No,No,,5.1,Richter,37.6,47.1,,1965,2,10,1965,2,10,20,,,,,,,,,,,10.76637873,,2020-03-10,2023-09-25
1965-0108-GRC,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,GRC,Greece,Southern Europe,Europe,Southern,,,No,No,No,,6.2,Richter,37.7,21.8,,1965,4,5,1965,4,5,32,200,,,200,,,,,,,10.76637873,,2020-03-10,2023-09-25
1966-0026-GRC,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,GRC,Greece,Southern Europe,Europe,Eurytania region,,,Yes,No,No,,6.3,Richter,39.2,22,,1966,2,5,1966,2,5,1,50,11000,,11050,,,,,4000,36065,11.09099715,,2003-07-01,2023-09-25
1966-0039-UGA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,UGA,Uganda,Sub-Saharan Africa,Africa,"W. Bwamba county, Kichwamba, Bondibogyo",,,Yes,No,No,,0.6,Richter,0.622,29.863,,1966,3,20,1966,3,20,104,510,5000,,5510,,,,,1500,13524,11.09099715,,2003-07-01,2023-09-25
1966-0042-SUN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,SUN,Soviet Union,Eastern Europe,Europe,Tashkent (Uzbekistan),,,No,No,No,,,Richter,41.2,69.1,,1966,4,26,1966,4,26,10,,100000,,100000,,,,,300000,2704897,11.09099715,,2003-07-01,2023-09-25
1966-0051-NPL,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,NPL,Nepal,Southern Asia,Asia,Nepal-India border,,,No,No,No,,6.3,Richter,29.706,80.935,,1966,6,27,1966,6,27,80,100,20000,,20100,,,,,1000,9016,11.09099715,,2003-07-01,2023-09-25
1966-0058-TUR,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TUR,Türkiye,Western Asia,Asia,Mus province,,,No,No,No,,,Richter,38.5,41.3,,1966,7,3,1966,7,3,14,,,,,,,,,,,11.09099715,,2003-07-01,2023-09-25
1966-0062-TUR,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TUR,Türkiye,Western Asia,Asia,Varto,,,Yes,No,No,,6.8,Richter,39.235,41.572,,1966,8,19,1966,8,19,2394,1500,108000,,109500,,,,,20000,180326,11.09099715,,2003-07-01,2023-09-25
1966-0068-GRC,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,GRC,Greece,Southern Europe,Europe,"(1) Megalopos, (2) Central Greece",,,Yes,No,No,,5.9,Richter,37.5,22.1,,1966,9,1,1966,9,1,1,123,15000,,15123,,,,,14000,126229,11.09099715,,2003-07-01,2023-09-25
1966-0082-PER,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,PER,Peru,Latin America and the Caribbean,Americas,"Lima, Huacho, Kuaura, Chancay, Supe, San Nicolas",,Tsunami/Tidal wave,Yes,No,No,,8.1,Richter,-10.665,-78.228,,1966,10,17,1966,10,17,120,1500,57600,49256,108356,,,,,15000,135245,11.09099715,,2003-07-01,2023-09-25
1966-0090-CHL,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,CHL,Chile,Latin America and the Caribbean,Americas,Taltal & Catalina,,,Yes,No,No,,7.7,Richter,-25.494,-70.55,,1966,12,28,1966,12,28,4,6,3000,,3006,,,,,400,3607,11.09099715,,2003-07-01,2023-09-25
1966-0141-TUR,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TUR,Türkiye,Western Asia,Asia,"Varto, Mus",,,No,No,No,,6,Richter,39.1,41.6,,1966,3,7,1966,3,7,10,,,,,,,,,,,11.09099715,,2020-03-10,2023-09-25
1966-0142-TUR,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TUR,Türkiye,Western Asia,Asia,,,,No,No,No,,4.6,Richter,38.9,41.3,,1966,7,12,1966,7,12,12,20,,,20,,,,,,,11.09099715,,2020-03-10,2023-09-25
1966-0143-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,North,,,No,No,No,,5.6,Richter,28.7,78.9,,1966,8,15,1966,8,15,15,,,,,,,,,,,11.09099715,,2020-03-10,2023-09-25
1967-0020-COL,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,COL,Colombia,Latin America and the Caribbean,Americas,"Neiva (Huila deparment); Rivera, San Antonio",,,No,No,No,,7,Richter,2.849,-74.798,,1967,2,9,1967,2,9,61,200,40000,,40200,,,,,600,5264,11.39852698,,2003-07-01,2023-09-25
1967-0032-GRC,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,GRC,Greece,Southern Europe,Europe,North West Mountains,,,Yes,No,No,,5.9,Richter,39.5,21.2,,1967,5,1,1967,5,1,9,56,16527,,16583,,,,,5000,43865,11.39852698,,2003-07-01,2023-09-25
1967-0047-TUR,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TUR,Türkiye,Western Asia,Asia,"(1) West Turkey - (2) East Turkey - (3) West Turkey; Mudurnu, Adapazari",,,Yes,No,No,,7.4,Richter,40.751,30.8,,1967,7,22,1967,7,22,183,360,238713,87000,326073,,,,,3000,26319,11.39852698,,2003-07-01,2023-09-25
1967-0050-VEN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,"Caracas, Macuto coast",,Tsunami/Tidal wave,Yes,No,No,,6.6,Richter,10.559,-67.33,,1967,7,28,1967,7,28,240,1536,80000,,81536,,,,,140000,1228229,11.39852698,,2003-07-01,2023-09-25
1967-0074-YUG,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,YUG,Yugoslavia,Southern Europe,Europe,Debar (Macedonia (FYR)),,,Yes,No,No,,,Richter,42,21.28,,1967,11,30,1967,11,30,7,70,16400,5400,21870,,,,,20000,175461,11.39852698,,2003-07-01,2023-09-25
1967-0075-ALB,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ALB,Albania,Southern Europe,Europe,Shupenze (Albania-Yugo Border),,,No,No,No,,6.7,Richter,41.386,20.532,,1967,11,30,1967,11,30,11,134,,,134,,,,,20000,175461,11.39852698,,2004-04-20,2023-09-25
1967-0077-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,"Maharashtra, Koynana",,,No,No,No,,6.6,Richter,17.412,73.885,,1967,12,11,1967,12,11,177,2272,50000,,52272,,,,,400,3509,11.39852698,,2003-07-01,2023-09-25
1967-0101-IDN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IDN,Indonesia,South-eastern Asia,Asia,"Makassar Strait, Tinambung (South Sulawesi)",,Tsunami/Tidal wave,No,No,No,,5.5,Richter,-3.7,119.3,,1967,4,11,1967,4,11,71,100,,,100,,,,,,,11.39852698,,2005-04-26,2023-09-25
1967-0102-IDN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IDN,Indonesia,South-eastern Asia,Asia,"Dampit, Gondang, Trenggalek, Malang (East Java)",,,No,No,No,,6.3,Richter,-8.965,113.017,,1967,2,20,1967,2,20,54,121,,8290,8411,,,,,,,11.39852698,,2003-07-01,2023-09-25
1967-0131-FRA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,FRA,France,Western Europe,Europe,"Arette, Lanne, Montory, Aramits, Haux, Sunhar (Pyrénées-Atlantiques)",,,No,No,No,,5.3,Richter,43.2,-0.5,,1967,8,13,1967,8,13,1,80,,1020,1100,,,,,,,11.39852698,,2007-03-30,2023-09-25
1967-0132-CHN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,CHN,China,Eastern Asia,Asia,Sichuan province,,,No,No,No,,5.5,Richter,30.2,104.1,,1967,1,24,1967,1,24,,,,2085,2085,,,,,,,11.39852698,,2020-03-11,2023-09-25
1967-0134-IDN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IDN,Indonesia,South-eastern Asia,Asia,"Malaysia brder; North Sumatera, Malay Peninsula",,Tsunami/Tidal wave,No,No,No,,6.7,Richter,5.121,96.286,,1967,4,12,1967,4,12,14,,,10000,10000,,,,,,,11.39852698,,2020-03-11,2023-09-25
1967-0135-DZA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,DZA,Algeria,Northern Africa,Africa,Near Sig,,,No,No,No,,5,Richter,35.5,-0.1,,1967,7,13,1967,7,13,10,15,,200,215,,,,,,,11.39852698,,2020-03-11,2023-09-25
1967-0136-TUR,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TUR,Türkiye,Western Asia,Asia,Tunceli,,,No,No,No,,6.2,Richter,39.5,40.4,,1967,7,26,1967,7,26,97,,,,,,,,,,,11.39852698,,2020-03-11,2023-09-25
1967-0137-COL,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,COL,Colombia,Latin America and the Caribbean,Americas,,,,No,No,No,,6.8,Richter,6.747,-73.032,,1967,7,29,1967,7,29,20,,,,,,,,,,,11.39852698,,2020-03-11,2023-09-25
1968-0018-NIC,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,NIC,Nicaragua,Latin America and the Caribbean,Americas,Managua,,,Yes,No,No,,4.6,Richter,12.1,-86.2,,1968,1,4,1968,1,4,,,2000,,2000,,,,,2000,16827,11.88544651,,2003-07-01,2023-09-25
1968-0023-ITA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ITA,Italy,Southern Europe,Europe,Belice Valley (Western Sicily),,,Yes,No,No,,6.4,Richter,37.702,13.033,,1968,1,15,1968,1,15,224,563,55000,,55563,,,,,250000,2103413,11.88544651,,2006-02-09,2023-09-25
1968-0032-GRC,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,GRC,Greece,Southern Europe,Europe,"Limnos, Agios Efstratios",,Tsunami/Tidal wave,Yes,No,No,,7.2,Richter,39.368,24.957,,1968,2,20,1968,2,20,19,18,4000,3600,7618,,,,,600,5048,11.88544651,,2004-04-02,2023-09-25
1968-0042-IRN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Azarbaijan, Maku, Shah Bandalu, Qurta Bolagh, Qondeqli",,,No,No,No,,5.3,Richter,39.2,44.3,,1968,4,29,1968,4,29,38,100,5000,,5100,,,,,1000,8414,11.88544651,,2003-07-01,2023-09-25
1968-0050-JPN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,JPN,Japan,Eastern Asia,Asia,Aomori Prefecture - Hokkaido,,Tsunami/Tidal wave,No,No,No,,6.5,Richter,40.5,140.43,,1968,5,17,1968,5,17,47,281,2500,,2781,,,,,131000,1102188,11.88544651,,2005-04-27,2023-09-25
1968-0052-PER,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,PER,Peru,Latin America and the Caribbean,Americas,"Moyobamba, Sans Martin, Yantalo, Rioja, Lamas",,,Yes,No,No,,7,Richter,-5.61,-77.086,,1968,6,19,1968,6,19,11,120,300,,420,,,,,100,841,11.88544651,,2004-01-29,2023-09-25
1968-0061-PHL,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,PHL,Philippines,South-eastern Asia,Asia,"Luzon Is., Manila",,Tsunami/Tidal wave,Yes,No,No,,,Richter,16.316,122.067,,1968,8,2,1968,8,2,271,261,,,261,,,,,5000,42068,11.88544651,,2004-01-29,2023-09-25
1968-0064-IDN,Yes,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,IDN,Indonesia,South-eastern Asia,Asia,Donggala,Earthquake,,No,No,No,,7.8,Richter,0.157,119.802,,1968,8,15,1968,8,15,200,,,,,,,,,,,11.88544651,,2005-04-26,2023-09-25
1968-0068-IRN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Khorasan province,,,Yes,No,No,,7.1,Richter,34.158,59.083,,1968,8,31,1968,8,31,10000,4050,75000,,79050,,,,,35000,294478,11.88544651,,2004-01-29,2023-09-25
1968-0071-TUR,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TUR,Türkiye,Western Asia,Asia,"Bartin, Amasra, Cakraz (North Anatolia)",,Tsunami/Tidal wave,No,No,No,,6.6,Richter,41.86,32.463,,1968,9,3,1968,9,3,24,200,10000,10000,20200,,,,,,,11.88544651,,2004-01-29,2023-09-25
1968-0073-MEX,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,MEX,Mexico,Latin America and the Caribbean,Americas,Chiapas state,,Tsunami/Tidal wave,No,No,No,,5.7,Richter,15.5,-92.7,,1968,9,25,1968,9,25,15,500,,,500,,,,,,,11.88544651,,2003-07-01,2023-09-25
1968-0077-AUS,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,AUS,Australia,Australia and New Zealand,Oceania,"Perth, Meckering, Northam, Cunderdin",,,Yes,No,No,,6.5,Richter,-31.566,117.071,,1968,10,14,1968,10,14,,16,3874,400,4290,,,,,2600,21875,11.88544651,,2004-01-29,2023-09-25
1968-0082-YUG,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,YUG,Yugoslavia,Southern Europe,Europe,Montenegro,,,Yes,No,No,,5.3,Richter,42.1,19.3,,1968,11,3,1968,11,3,1,30,15000,,15030,,,,,38600,324767,11.88544651,,2003-07-01,2023-09-25
1968-0099-NZL,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,NZL,New Zealand,Australia and New Zealand,Oceania,Inangahua,,,No,No,No,,7.2,Richter,-41.659,172.02,,1968,5,24,1968,5,24,3,14,300,,314,,,,,2669,22456,11.88544651,,2004-01-29,2023-09-25
1968-0142-MEX,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,MEX,Mexico,Latin America and the Caribbean,Americas,"Oaxaca, Guerrero",,,No,No,No,,7.3,Richter,16.519,-97.739,,1968,8,2,1968,8,2,18,,,,,,,,,2400,20193,11.88544651,,2020-03-11,2023-09-25
1968-0143-IRN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Ferdow,,,No,No,No,,6.5,Richter,34,58.2,,1968,9,1,1968,9,1,700,,,,,,,,,,,11.88544651,,2020-03-11,2023-09-25
1969-0046-IRN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Khurasan province,,,No,No,No,,5.6,Richter,37.1,57.9,,1969,1,3,1969,1,3,50,300,48000,,48300,,,,,,,12.53467526,,2004-01-29,2023-09-25
1969-0052-IDN,Yes,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,IDN,Indonesia,South-eastern Asia,Asia,"Parasanga, Paletoang (Sulawesi)",Earthquake,,No,No,No,,7,Richter,-3.201,118.904,,1969,2,23,1969,2,23,64,97,,6435,6532,,,,,,,12.53467526,,2005-04-26,2023-09-25
1969-0059-TUR,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,TUR,Türkiye,Western Asia,Asia,"West Alasehir, Sarigol, Kirz",,,No,No,No,,6.7,Richter,38.515,28.546,,1969,3,28,1969,3,28,53,350,,,350,,,,,,,12.53467526,,2004-01-29,2023-09-25
1969-0061-ETH,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ETH,Ethiopia,Sub-Saharan Africa,Africa,Sardo,,,Yes,No,No,,6.2,Richter,11.9,41.21,,1969,3,29,1969,3,29,24,165,,420,585,,,,,320,2553,12.53467526,,2004-01-29,2023-09-25
1969-0082-CHN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,CHN,China,Eastern Asia,Asia,"Tientsin (Swatow province), Yangjiang county (Huangdong province)",,,No,No,No,,6.4,Richter,22.317,111.8,,1969,7,26,1969,7,26,3000,,,53810,53810,,,,,,,12.53467526,,2004-01-29,2023-09-25
1969-0097-ZAF,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ZAF,South Africa,Sub-Saharan Africa,Africa,Cape province,,,No,No,No,,6.3,Richter,-33.268,19.386,,1969,9,29,1969,9,29,9,,1000,,1000,,,,,24000,191469,12.53467526,,2005-12-23,2023-09-25
